,Filename,Width (mm),Height (mm),Width (px),Height (px),x1,y1,x2,y2
1,17-18-12-195.png,0,0,0,0,0,0,0,0
2,17-18-12-241.png,0,0,0,0,0,0,0,0
3,17-18-12-283.png,0,0,0,0,0,0,0,0
4,17-18-12-320.png,0,0,0,0,0,0,0,0
5,17-18-12-361.png,0.76,0.81,16,17,471,235,487,252
6,17-18-12-404.png,0,0,0,0,0,0,0,0
7,17-18-12-448.png,0,0,0,0,0,0,0,0
8,17-18-12-494.png,0,0,0,0,0,0,0,0
9,17-18-12-536.png,0,0,0,0,0,0,0,0
10,17-18-12-580.png,0,0,0,0,0,0,0,0
11,17-18-12-628.png,0,0,0,0,0,0,0,0
12,17-18-12-671.png,0,0,0,0,0,0,0,0
13,17-18-12-715.png,0,0,0,0,0,0,0,0
14,17-18-12-762.png,0,0,0,0,0,0,0,0
15,17-18-12-804.png,0,0,0,0,0,0,0,0
16,17-18-12-850.png,0,0,0,0,0,0,0,0
17,17-18-12-893.png,0,0,0,0,0,0,0,0
18,17-18-12-938.png,0,0,0,0,0,0,0,0
19,17-18-12-985.png,0,0,0,0,0,0,0,0
20,17-18-13-027.png,0,0,0,0,0,0,0,0
21,17-18-13-063.png,0,0,0,0,0,0,0,0
22,17-18-13-101.png,0,0,0,0,0,0,0,0
23,17-18-13-150.png,0,0,0,0,0,0,0,0
24,17-18-13-193.png,0,0,0,0,0,0,0,0
25,17-18-13-236.png,0,0,0,0,0,0,0,0
26,17-18-13-282.png,0,0,0,0,0,0,0,0
27,17-18-13-327.png,0,0,0,0,0,0,0,0
28,17-18-13-373.png,0,0,0,0,0,0,0,0
29,17-18-13-415.png,0,0,0,0,0,0,0,0
30,17-18-13-451.png,0,0,0,0,0,0,0,0
31,17-18-13-493.png,0,0,0,0,0,0,0,0
32,17-18-13-541.png,0,0,0,0,0,0,0,0
33,17-18-13-584.png,0,0,0,0,0,0,0,0
34,17-18-13-620.png,0,0,0,0,0,0,0,0
35,17-18-13-659.png,0,0,0,0,0,0,0,0
36,17-18-13-705.png,0,0,0,0,0,0,0,0
37,17-18-13-748.png,0,0,0,0,0,0,0,0
38,17-18-13-795.png,0,0,0,0,0,0,0,0
39,17-18-13-838.png,0,0,0,0,0,0,0,0
40,17-18-13-876.png,0,0,0,0,0,0,0,0
41,17-18-13-915.png,0,0,0,0,0,0,0,0
42,17-18-13-963.png,0,0,0,0,0,0,0,0
43,17-18-14-005.png,0,0,0,0,0,0,0,0
44,17-18-14-056.png,0,0,0,0,0,0,0,0
45,17-18-14-096.png,0,0,0,0,0,0,0,0
46,17-18-14-137.png,0,0,0,0,0,0,0,0
47,17-18-14-183.png,4.1,3.63,86,76,471,192,557,268
48,17-18-14-227.png,4.68,4.68,98,98,471,181,569,279
49,17-18-14-272.png,4.87,4.15,102,87,487,186,589,273
50,17-18-14-316.png,5.49,5.49,115,115,487,175,602,290
51,17-18-14-361.png,5.87,5.73,123,120,483,175,606,295
52,17-18-14-408.png,6.25,6.01,131,126,487,175,618,301
53,17-18-14-460.png,6.25,6.25,131,131,491,175,622,306
54,17-18-14-500.png,5.1,5.49,107,115,507,186,614,301
55,17-18-14-537.png,4.1,4.44,86,93,524,202,610,295
56,17-18-14-585.png,4.87,4.96,102,104,520,202,622,306
57,17-18-14-627.png,3.91,3.91,82,82,532,208,614,290
58,17-18-14-672.png,3.72,3.63,78,76,532,208,610,284
59,17-18-14-715.png,2.72,2.86,57,60,540,219,597,279
60,17-18-14-755.png,5.25,5.44,110,114,520,192,630,306
61,17-18-14-793.png,5.44,5.2,114,109,516,197,630,306
62,17-18-14-841.png,5.25,5.44,110,114,520,192,630,306
63,17-18-14-883.png,5.06,5.2,106,109,524,197,630,306
64,17-18-14-920.png,5.25,5.2,110,109,520,197,630,306
65,17-18-14-960.png,5.25,5.2,110,109,520,197,630,306
66,17-18-15-007.png,5.06,5.44,106,114,520,192,626,306
67,17-18-15-048.png,6.06,5.96,127,125,507,181,634,306
68,17-18-15-094.png,5.82,5.73,122,120,512,186,634,306
69,17-18-15-137.png,5.82,5.73,122,120,512,186,634,306
70,17-18-15-181.png,6.06,5.96,127,125,507,181,634,306
71,17-18-15-230.png,5.82,5.73,122,120,512,186,634,306
72,17-18-15-271.png,5.82,5.96,122,125,512,181,634,306
73,17-18-15-312.png,5.63,5.73,118,120,512,181,630,301
74,17-18-15-365.png,5.87,5.96,123,125,507,181,630,306
75,17-18-15-417.png,5.44,5.49,114,115,512,186,626,301
76,17-18-15-461.png,5.25,5.49,110,115,516,186,626,301
77,17-18-15-505.png,5.06,5.49,106,115,516,186,622,301
78,17-18-15-551.png,4.68,4.91,98,103,520,192,618,295
79,17-18-15-594.png,4.87,5.2,102,109,516,192,618,301
80,17-18-15-630.png,4.68,4.91,98,103,520,192,618,295
81,17-18-15-671.png,5.63,5.96,118,125,512,181,630,306
82,17-18-15-719.png,5.87,5.73,123,120,507,181,630,301
83,17-18-15-758.png,5.87,5.73,123,120,507,181,630,301
84,17-18-15-798.png,5.87,5.73,123,120,507,181,630,301
85,17-18-15-835.png,5.87,5.73,123,120,507,181,630,301
86,17-18-15-885.png,5.49,5.73,115,120,507,181,622,301
87,17-18-15-928.png,6.06,5.73,127,120,503,181,630,301
88,17-18-15-973.png,6.06,5.73,127,120,503,181,630,301
89,17-18-16-017.png,6.06,6.01,127,126,503,175,630,301
90,17-18-16-062.png,5.49,5.49,115,115,507,186,622,301
91,17-18-16-103.png,5.68,5.73,119,120,507,181,626,301
92,17-18-16-149.png,5.44,5.73,114,120,512,181,626,301
93,17-18-16-188.png,4.87,5.2,102,109,512,186,614,295
94,17-18-16-226.png,4.87,5.2,102,109,512,186,614,295
95,17-18-16-272.png,4.68,5.2,98,109,512,186,610,295
96,17-18-16-315.png,4.87,5.2,102,109,512,186,614,295
97,17-18-16-361.png,5.49,5.73,115,120,507,181,622,301
98,17-18-16-405.png,5.87,5.73,123,120,503,181,626,301
99,17-18-16-449.png,6.06,5.73,127,120,499,181,626,301
100,17-18-16-493.png,6.06,5.73,127,120,499,181,626,301
101,17-18-16-539.png,6.06,6.01,127,126,499,175,626,301
102,17-18-16-584.png,6.06,6.01,127,126,499,175,626,301
103,17-18-16-631.png,5.87,5.73,123,120,499,181,622,301
104,17-18-16-672.png,6.06,5.73,127,120,499,181,626,301
105,17-18-16-706.png,5.68,5.73,119,120,503,186,622,306
106,17-18-16-749.png,5.3,5.73,111,120,507,186,618,306
107,17-18-16-795.png,5.1,5.49,107,115,507,186,614,301
108,17-18-16-837.png,4.91,5.49,103,115,507,186,610,301
