Filename,Width (mm),Height (mm),Width (px),Height (px),x1,y1,x2,y2
15-51-06-045.png,0,0,0,0,0,0,0,0
15-51-06-078.png,1.57,1.81,33,38,626,279,659,317
15-51-06-113.png,4.29,4.39,90,92,589,252,679,344
15-51-06-146.png,4.1,4.39,86,92,589,252,675,344
15-51-06-180.png,3.34,3.91,70,82,593,257,663,339
15-51-06-211.png,3.34,3.91,70,82,593,257,663,339
15-51-06-244.png,2.96,3.63,62,76,593,257,655,333
15-51-06-278.png,2.96,3.63,62,76,593,257,655,333
15-51-06-310.png,0.19,0.24,4,5,622,301,626,306
15-51-06-345.png,0.19,0.24,4,5,622,301,626,306
15-51-06-378.png,2.77,3.15,58,66,597,262,655,328
15-51-06-411.png,2.15,2.62,45,55,606,268,651,323
15-51-06-443.png,3.91,4.15,82,87,589,252,671,339
15-51-06-477.png,4.29,4.39,90,92,589,252,679,344
15-51-06-509.png,4.29,4.39,90,92,589,252,679,344
15-51-06-541.png,4.48,4.96,94,104,585,246,679,350
15-51-06-577.png,3.91,4.39,82,92,589,252,671,344
15-51-06-609.png,3.72,3.91,78,82,589,257,667,339
15-51-06-643.png,4.29,4.96,90,104,585,246,675,350
15-51-06-672.png,4.87,4.96,102,104,581,246,683,350
15-51-06-706.png,4.29,4.68,90,98,585,246,675,344
15-51-06-743.png,2.34,2.62,49,55,606,273,655,328
15-51-06-774.png,1.72,2.1,36,44,610,279,646,323
15-51-06-810.png,4.68,4.96,98,104,585,246,683,350
15-51-06-843.png,5.06,5.2,106,109,577,246,683,355
15-51-06-877.png,5.06,5.2,106,109,577,246,683,355
15-51-06-910.png,4.68,5.2,98,109,573,246,671,355
15-51-06-944.png,4.29,4.96,90,104,573,246,663,350
15-51-06-976.png,4.87,5.44,102,114,565,241,667,355
15-51-07-011.png,4.68,5.2,98,109,565,241,663,350
15-51-07-045.png,4.48,4.96,94,104,569,246,663,350
15-51-07-078.png,3.91,4.39,82,92,577,252,659,344
15-51-07-110.png,3.15,3.91,66,82,585,257,651,339
15-51-07-145.png,3.72,4.15,78,87,581,252,659,339
15-51-07-178.png,3.91,4.68,82,98,581,246,663,344
15-51-07-211.png,4.29,4.68,90,98,577,246,667,344
15-51-07-245.png,4.29,4.91,90,103,581,241,671,344
15-51-07-281.png,4.1,4.68,86,98,581,246,667,344
15-51-07-314.png,2.96,3.63,62,76,589,257,651,333
15-51-07-347.png,3.15,3.63,66,76,589,257,655,333
15-51-07-379.png,3.15,3.63,66,76,589,257,655,333
15-51-07-414.png,3.34,3.91,70,82,589,257,659,339
15-51-07-449.png,3.34,3.91,70,82,589,257,659,339
15-51-07-487.png,3.91,4.39,82,92,589,252,671,344
15-51-07-522.png,2.91,3.39,61,71,602,262,663,333
15-51-07-556.png,2.91,3.39,61,71,602,262,663,333
15-51-07-589.png,1.96,2.39,41,50,610,273,651,323
15-51-07-626.png,2.72,2.86,57,60,602,268,659,328
15-51-07-666.png,0,0,0,0,0,0,0,0
15-51-07-702.png,0,0,0,0,0,0,0,0
15-51-07-736.png,0,0,0,0,0,0,0,0
15-51-07-777.png,3.67,4.15,77,87,602,252,679,339
15-51-07-808.png,0,0,0,0,0,0,0,0
