Filename,Width (mm),Height (mm),Width (px),Height (px),x1,y1,x2,y2
12-55-00-063.png,6.25,5.96,131,125,344,208,475,333
12-55-00-115.png,6.63,5.96,139,125,348,208,487,333
12-55-00-160.png,6.44,5.73,135,120,356,208,491,328
12-55-00-201.png,6.44,5.73,135,120,348,208,483,328
12-55-00-251.png,6.44,6.25,135,131,344,202,479,333
12-55-00-290.png,5.44,5.25,114,110,344,213,458,323
12-55-00-335.png,5.06,4.44,106,93,340,224,446,317
12-55-00-382.png,1.57,1.53,33,32,364,252,397,284
12-55-00-424.png,0,0,0,0,0,0,0,0
12-55-00-456.png,0,0,0,0,0,0,0,0
12-55-00-490.png,0,0,0,0,0,0,0,0
12-55-00-539.png,0,0,0,0,0,0,0,0
12-55-00-592.png,0,0,0,0,0,0,0,0
12-55-00-639.png,3.67,3.91,77,82,336,224,413,306
12-55-00-683.png,5.68,5.73,119,120,323,208,442,328
12-55-00-724.png,5.3,5.25,111,110,323,213,434,323
12-55-00-774.png,5.68,5.96,119,125,319,208,438,333
12-55-00-813.png,5.1,5.25,107,110,323,213,430,323
12-55-00-861.png,4.72,4.68,99,98,323,219,422,317
12-55-00-904.png,4.06,4.44,85,93,328,224,413,317
12-55-00-946.png,5.3,5.49,111,115,323,213,434,328
12-55-00-989.png,3.86,4.2,81,88,332,224,413,312
12-55-01-037.png,3.67,4.2,77,88,332,224,409,312
12-55-01-084.png,5.87,5.73,123,120,319,208,442,328
12-55-01-129.png,6.25,6.01,131,126,319,202,450,328
12-55-01-170.png,6.06,6.01,127,126,323,202,450,328
12-55-01-213.png,5.3,4.96,111,104,315,208,426,312
12-55-01-263.png,5.1,4.68,107,98,319,208,426,306
12-55-01-303.png,5.68,5.25,119,110,319,202,438,312
12-55-01-346.png,4.29,3.67,90,77,332,213,422,290
12-55-01-393.png,2.96,2.86,62,60,356,224,418,284
12-55-01-436.png,1.15,1.29,24,27,385,241,409,268
12-55-01-479.png,0,0,0,0,0,0,0,0
12-55-01-525.png,4.68,3.91,98,82,352,202,450,284
12-55-01-568.png,6.25,5.44,131,114,356,192,487,306
12-55-01-621.png,6.63,5.44,139,114,352,192,491,306
12-55-01-670.png,7.01,6.25,147,131,352,186,499,317
12-55-01-719.png,6.82,6.25,143,131,356,192,499,323
12-55-01-757.png,6.82,6.54,143,137,360,186,503,323
12-55-01-802.png,6.82,6.54,143,137,364,186,507,323
12-55-01-849.png,6.82,6.49,143,136,360,181,503,317
12-55-01-891.png,6.82,6.49,143,136,356,181,499,317
12-55-01-935.png,6.82,6.25,143,131,348,186,491,317
12-55-01-981.png,6.63,6.54,139,137,352,186,491,323
12-55-02-012.png,6.25,5.96,131,125,352,192,483,317
12-55-02-045.png,5.68,5.73,119,120,352,197,471,317
12-55-02-089.png,5.44,5.73,114,120,340,197,454,317
12-55-02-123.png,4.68,5.25,98,110,352,202,450,312
12-55-02-176.png,3.91,4.44,82,93,364,213,446,306
12-55-02-218.png,4.48,4.68,94,98,356,208,450,306
12-55-02-259.png,0,0,0,0,0,0,0,0
12-55-02-305.png,3.53,3.63,74,76,360,219,434,295
12-55-02-348.png,6.25,6.25,131,131,315,186,446,317
12-55-02-392.png,6.44,6.25,135,131,311,186,446,317
12-55-02-439.png,6.44,6.49,135,136,315,181,450,317
12-55-02-480.png,6.44,6.25,135,131,315,186,450,317
12-55-02-528.png,6.25,6.25,131,131,319,186,450,317
12-55-02-568.png,6.06,6.25,127,131,319,186,446,317
12-55-02-612.png,5.06,4.96,106,104,332,202,438,306
12-55-02-645.png,0,0,0,0,0,0,0,0
12-55-02-697.png,0,0,0,0,0,0,0,0
12-55-02-751.png,0,0,0,0,0,0,0,0
12-55-02-794.png,2.34,2.34,49,49,360,224,409,273
12-55-02-835.png,3.91,3.91,82,82,348,213,430,295
12-55-02-891.png,4.48,4.44,94,93,340,208,434,301
12-55-02-947.png,4.1,4.2,86,88,352,213,438,301
12-55-02-991.png,5.44,5.49,114,115,336,197,450,312
12-55-03-034.png,6.01,6.01,126,126,332,186,458,312
12-55-03-068.png,6.01,6.01,126,126,332,186,458,312
12-55-03-101.png,6.01,6.01,126,126,332,186,458,312
12-55-03-147.png,6.44,6.49,135,136,323,181,458,317
12-55-03-192.png,6.68,6.54,140,137,323,175,463,312
12-55-03-241.png,6.68,6.54,140,137,323,175,463,312
12-55-03-282.png,6.68,6.54,140,137,323,175,463,312
12-55-03-325.png,6.44,6.25,135,131,328,181,463,312
12-55-03-374.png,6.63,6.25,139,131,328,181,467,312
12-55-03-424.png,6.44,5.96,135,125,328,181,463,306
12-55-03-472.png,5.63,4.91,118,103,336,192,454,295
12-55-03-513.png,6.44,5.96,135,125,328,181,463,306
12-55-03-557.png,6.44,5.96,135,125,328,181,463,306
12-55-03-604.png,6.63,5.96,139,125,328,181,467,306
12-55-03-646.png,5.87,5.49,123,115,340,186,463,301
12-55-03-679.png,5.44,4.91,114,103,344,192,458,295
12-55-03-712.png,5.44,4.91,114,103,344,192,458,295
12-55-03-765.png,6.06,5.73,127,120,336,186,463,306
12-55-03-815.png,4.87,4.44,102,93,348,197,450,290
12-55-03-862.png,4.68,4.44,98,93,352,202,450,295
12-55-03-902.png,5.06,4.68,106,98,348,197,454,295
12-55-03-946.png,4.1,3.91,86,82,360,202,446,284
12-55-03-995.png,6.44,5.96,135,125,328,181,463,306
12-55-04-035.png,6.44,5.96,135,125,332,181,467,306
12-55-04-081.png,6.44,5.96,135,125,336,181,471,306
12-55-04-124.png,6.44,5.96,135,125,336,181,471,306
12-55-04-157.png,5.49,4.91,115,103,352,192,467,295
12-55-04-201.png,6.63,5.96,139,125,340,181,479,306
12-55-04-234.png,6.63,5.96,139,125,340,181,479,306
12-55-04-287.png,6.44,5.73,135,120,340,186,475,306
12-55-04-337.png,6.06,5.73,127,120,344,186,471,306
12-55-04-385.png,5.49,5.2,115,109,348,192,463,301
12-55-04-424.png,0,0,0,0,0,0,0,0
12-55-04-467.png,0,0,0,0,0,0,0,0
12-55-04-515.png,0,0,0,0,0,0,0,0
12-55-04-558.png,0,0,0,0,0,0,0,0
12-55-04-605.png,0,0,0,0,0,0,0,0
12-55-04-648.png,0,0,0,0,0,0,0,0
12-55-04-690.png,0,0,0,0,0,0,0,0
12-55-04-723.png,0,0,0,0,0,0,0,0
12-55-04-757.png,0,0,0,0,0,0,0,0
12-55-04-810.png,3.72,3.39,78,71,352,213,430,284
12-55-04-860.png,6.44,6.25,135,131,328,175,463,306
12-55-04-904.png,6.68,6.25,140,131,323,175,463,306
12-55-04-946.png,6.44,5.96,135,125,332,181,467,306
12-55-04-992.png,5.63,5.2,118,109,340,186,458,295
12-55-05-038.png,4.87,4.68,102,98,348,192,450,290
12-55-05-079.png,6.06,5.44,127,114,336,181,463,295
12-55-05-125.png,6.63,6.25,139,131,332,175,471,306
12-55-05-168.png,5.63,5.49,118,115,336,186,454,301
12-55-05-212.png,5.63,5.73,118,120,336,181,454,301
12-55-05-245.png,5.06,5.2,106,109,348,186,454,295
12-55-05-294.png,5.87,5.73,123,120,340,181,463,301
12-55-05-335.png,6.63,6.01,139,126,332,175,471,301
12-55-05-388.png,6.44,6.01,135,126,332,175,467,301
12-55-05-438.png,6.25,5.73,131,120,336,181,467,301
12-55-05-480.png,6.25,5.73,131,120,332,181,463,301
12-55-05-526.png,6.44,6.01,135,126,328,175,463,301
12-55-05-571.png,6.63,6.01,139,126,319,175,458,301
12-55-05-617.png,6.63,6.01,139,126,315,175,454,301
12-55-05-659.png,6.82,6.01,143,126,311,175,454,301
12-55-05-701.png,6.82,5.96,143,125,303,181,446,306
12-55-05-751.png,6.25,5.73,131,120,311,186,442,306
12-55-05-791.png,0,0,0,0,0,0,0,0
12-55-05-836.png,6.06,4.68,127,98,348,197,475,295
12-55-05-885.png,5.87,5.2,123,109,352,197,475,306
12-55-05-926.png,7.44,6.77,156,142,311,181,467,323
12-55-05-973.png,7.25,6.77,152,142,323,181,475,323
12-55-06-014.png,6.63,6.01,139,126,336,186,475,312
12-55-06-058.png,6.82,6.25,143,131,340,181,483,312
12-55-06-105.png,5.68,5.2,119,109,344,192,463,301
12-55-06-148.png,1.96,1.57,41,33,377,219,418,252
12-55-06-193.png,0,0,0,0,0,0,0,0
12-55-06-238.png,0,0,0,0,0,0,0,0
12-55-06-279.png,0,0,0,0,0,0,0,0
12-55-06-324.png,0,0,0,0,0,0,0,0
12-55-06-369.png,0,0,0,0,0,0,0,0
12-55-06-419.png,0,0,0,0,0,0,0,0
12-55-06-483.png,2.34,2.34,49,49,332,213,381,262
12-55-06-528.png,2.39,2.62,50,55,323,213,373,268
12-55-06-568.png,1.34,1.57,28,33,328,213,356,246
12-55-06-613.png,3.1,3.15,65,66,299,202,364,268
12-55-06-661.png,5.49,5.49,115,115,270,186,385,301
12-55-06-702.png,5.49,5.44,115,114,258,181,373,295
12-55-06-746.png,5.68,5.44,119,114,254,181,373,295
12-55-06-793.png,5.25,4.96,110,104,250,186,360,290
12-55-06-835.png,5.82,6.01,122,126,246,175,368,301
12-55-06-870.png,5.25,5.44,110,114,250,181,360,295
12-55-06-918.png,5.44,5.2,114,109,246,181,360,290
12-55-06-962.png,0,0,0,0,0,0,0,0
12-55-07-007.png,2.34,2.86,49,60,266,208,315,268
12-55-07-051.png,0,0,0,0,0,0,0,0
12-55-07-090.png,3.48,4.15,73,87,242,197,315,284
12-55-07-138.png,2.91,3.67,61,77,250,202,311,279
12-55-07-182.png,2.34,2.86,49,60,254,213,303,273
12-55-07-224.png,0,0,0,0,0,0,0,0
12-55-07-271.png,0,0,0,0,0,0,0,0
12-55-07-316.png,0,0,0,0,0,0,0,0
12-55-07-357.png,2.34,2.86,49,60,254,202,303,262
12-55-07-405.png,2.91,3.15,61,66,250,202,311,268
12-55-07-446.png,4.06,4.39,85,92,238,192,323,284
12-55-07-480.png,2.91,3.15,61,66,246,202,307,268
12-55-07-529.png,3.48,3.63,73,76,242,197,315,273
12-55-07-574.png,4.48,4.96,94,104,234,186,328,290
12-55-07-615.png,4.68,5.2,98,109,225,186,323,295
12-55-07-660.png,4.48,4.96,94,104,229,186,323,290
12-55-07-704.png,3.48,3.86,73,81,238,192,311,273
12-55-07-747.png,0,0,0,0,0,0,0,0
12-55-07-793.png,1.57,1.86,33,39,266,213,299,252
12-55-07-835.png,2.34,2.58,49,54,254,208,303,262
12-55-07-879.png,4.1,4.39,86,92,229,192,315,284
12-55-07-925.png,4.68,5.44,98,114,221,181,319,295
12-55-07-968.png,3.29,3.91,69,82,238,197,307,279
12-55-08-001.png,2.53,2.86,53,60,250,208,303,268
12-55-08-041.png,0,0,0,0,0,0,0,0
12-55-08-084.png,0,0,0,0,0,0,0,0
12-55-08-126.png,0,0,0,0,0,0,0,0
12-55-08-169.png,5.06,4.91,106,103,254,192,360,295
12-55-08-218.png,6.06,5.73,127,120,246,186,373,306
12-55-08-258.png,6.44,6.49,135,136,250,181,385,317
12-55-08-303.png,6.82,6.49,143,136,270,181,413,317
12-55-08-351.png,7.01,6.49,147,136,279,181,426,317
12-55-08-392.png,4.87,4.72,102,99,299,202,401,301
12-55-08-435.png,7.06,6.54,148,137,274,186,422,323
12-55-08-480.png,6.2,6.25,130,131,283,186,413,317
12-55-08-523.png,6.01,6.49,126,136,287,181,413,317
12-55-08-577.png,5.87,6.25,123,131,295,181,418,312
12-55-08-617.png,6.06,6.25,127,131,303,186,430,317
12-55-08-673.png,5.87,5.73,123,120,307,197,430,317
12-55-08-713.png,4.91,4.72,103,99,319,202,422,301
12-55-08-759.png,4.91,4.96,103,104,319,202,422,306
12-55-08-806.png,3.48,3.39,73,71,336,219,409,290
12-55-08-845.png,3.1,3.15,65,66,344,224,409,290
12-55-08-893.png,3.29,3.39,69,71,344,224,413,295
12-55-08-937.png,4.1,4.2,86,88,340,213,426,301
12-55-08-980.png,4.68,4.68,98,98,328,208,426,306
12-55-09-024.png,5.68,5.73,119,120,319,197,438,317
12-55-09-069.png,5.68,5.73,119,120,315,197,434,317
12-55-09-121.png,3.72,4.15,78,87,315,208,393,295
12-55-09-171.png,3.91,4.2,82,88,295,213,377,301
12-55-09-215.png,4.48,4.68,94,98,283,208,377,306
12-55-09-270.png,4.48,4.44,94,93,287,213,381,306
12-55-09-313.png,5.87,5.49,123,115,270,208,393,323
12-55-09-360.png,5.25,4.72,110,99,279,213,389,312
12-55-09-402.png,4.87,5.2,102,109,279,208,381,317
12-55-09-447.png,5.1,5.2,107,109,274,208,381,317
12-55-09-490.png,4.29,4.72,90,99,287,213,377,312
12-55-09-535.png,0,0,0,0,0,0,0,0
12-55-09-582.png,2.72,2.86,57,60,307,230,364,290
12-55-09-626.png,3.1,2.86,65,60,291,230,356,290
12-55-09-675.png,3.29,3.39,69,71,287,224,356,295
12-55-09-726.png,4.48,4.44,94,93,266,213,360,306
12-55-09-769.png,6.2,5.77,130,121,238,202,368,323
12-55-09-816.png,5.82,6.01,122,126,238,197,360,323
12-55-09-858.png,5.25,5.49,110,115,242,202,352,317
12-55-09-904.png,5.44,5.2,114,109,242,208,356,317
12-55-09-949.png,3.53,3.39,74,71,262,219,336,290
12-55-09-991.png,4.87,5.49,102,115,254,197,356,312
12-55-10-038.png,4.48,4.72,94,99,262,202,356,301
12-55-10-080.png,5.68,6.01,119,126,254,197,373,323
12-55-10-123.png,6.25,6.25,131,131,250,197,381,328
12-55-10-160.png,6.06,6.01,127,126,262,197,389,323
12-55-10-210.png,6.25,6.25,131,131,258,197,389,328
12-55-10-249.png,5.49,6.01,115,126,270,197,385,323
12-55-10-300.png,5.3,6.01,111,126,274,197,385,323
12-55-10-347.png,5.49,5.49,115,115,266,208,381,323
12-55-10-393.png,5.87,5.77,123,121,258,202,381,323
12-55-10-434.png,6.06,6.01,127,126,250,197,377,323
12-55-10-480.png,5.68,5.25,119,110,254,202,373,312
12-55-10-526.png,5.63,5.49,118,115,250,202,368,317
12-55-10-569.png,3.53,3.15,74,66,270,224,344,290
12-55-10-612.png,6.06,5.73,127,120,254,197,381,317
12-55-10-646.png,6.44,6.25,135,131,254,186,389,317
12-55-10-691.png,6.82,6.54,143,137,250,186,393,323
12-55-10-741.png,7.4,6.54,155,137,250,186,405,323
12-55-10-795.png,7.2,6.25,151,131,254,186,405,317
12-55-10-836.png,7.01,6.25,147,131,262,186,409,317
12-55-10-886.png,7.2,6.25,151,131,262,186,413,317
12-55-10-925.png,7.06,6.49,148,136,274,181,422,317
12-55-10-968.png,7.44,6.49,156,136,270,181,426,317
12-55-11-017.png,7.63,6.25,160,131,266,186,426,317
12-55-11-057.png,6.63,5.73,139,120,283,186,422,306
