Timestamp (s),Sensor Value
14-20-37-364,0.36
14-20-37-385,0.36
14-20-37-426,0.36
14-20-37-467,0.38
14-20-37-508,0.38
14-20-37-528,0.41
14-20-37-569,0.41
14-20-37-610,0.41
14-20-37-631,0.47
14-20-37-673,0.47
14-20-37-694,0.47
14-20-37-734,0.57
14-20-37-776,0.57
14-20-37-797,0.74
14-20-37-838,0.74
14-20-37-880,0.74
14-20-37-900,0.97
14-20-37-941,0.97
14-20-37-983,1.22
14-20-38-005,1.22
14-20-38-047,1.22
14-20-38-088,1.49
14-20-38-109,1.49
14-20-38-151,1.49
14-20-38-172,1.76
14-20-38-213,1.76
14-20-38-254,2.03
14-20-38-275,2.03
14-20-38-316,2.03
14-20-38-358,2.3
14-20-38-378,2.3
14-20-38-420,2.3
14-20-38-461,2.56
14-20-38-482,2.56
14-20-38-523,2.83
14-20-38-564,2.83
14-20-38-585,2.83
14-20-38-626,3.09
14-20-38-668,3.09
14-20-38-689,3.34
14-20-38-730,3.34
14-20-38-751,3.34
14-20-38-792,3.59
14-20-38-833,3.59
14-20-38-854,3.59
14-20-38-896,3.83
14-20-38-937,3.83
14-20-38-958,4.05
14-20-39-002,4.05
14-20-39-044,4.05
14-20-39-064,4.24
14-20-39-105,4.24
14-20-39-147,4.24
14-20-39-168,4.39
14-20-39-209,4.39
14-20-39-230,4.47
14-20-39-271,4.47
14-20-39-312,4.47
14-20-39-333,4.48
14-20-39-375,4.48
14-20-39-416,4.48
14-20-39-437,4.48
14-20-39-478,4.48
14-20-39-519,4.45
14-20-39-543,4.45
14-20-39-584,4.45
14-20-39-605,4.4
14-20-39-647,4.4
14-20-39-688,4.34
14-20-39-709,4.34
14-20-39-750,4.34
14-20-39-792,4.24
14-20-39-812,4.24
14-20-39-854,4.24
14-20-39-895,4.12
14-20-39-916,4.12
14-20-39-958,3.97
14-20-40-000,3.97
14-20-40-020,3.97
14-20-40-061,3.79
14-20-40-082,3.79
14-20-40-124,3.79
14-20-40-165,3.59
14-20-40-186,3.59
14-20-40-227,3.39
14-20-40-269,3.39
14-20-40-289,3.39
14-20-40-331,3.19
14-20-40-373,3.19
14-20-40-394,2.98
14-20-40-435,2.98
14-20-40-476,2.98
14-20-40-497,2.77
14-20-40-538,2.77
14-20-40-559,2.77
14-20-40-600,2.56
14-20-40-642,2.56
14-20-40-663,2.35
14-20-40-704,2.35
14-20-40-745,2.35
14-20-40-766,2.13
14-20-40-807,2.13
14-20-40-848,2.13
14-20-40-869,1.93
14-20-40-910,1.93
14-20-40-952,1.74
14-20-40-973,1.74
14-20-41-014,1.74
14-20-41-054,1.56
14-20-41-075,1.56
14-20-41-117,1.4
14-20-41-158,1.4
14-20-41-179,1.4
14-20-41-220,1.25
14-20-41-261,1.25
14-20-41-282,1.25
14-20-41-323,1.14
14-20-41-365,1.14
14-20-41-386,1.07
14-20-41-427,1.07
14-20-41-447,1.07
14-20-41-488,1.02
14-20-41-529,1.02
14-20-41-550,1.02
14-20-41-591,0.98
14-20-41-633,0.98
14-20-41-653,0.96
14-20-41-695,0.96
14-20-41-736,0.96
14-20-41-757,0.94
14-20-41-798,0.94
14-20-41-839,0.93
14-20-41-863,0.93
14-20-41-905,0.93
14-20-41-926,0.92
14-20-41-968,0.92
14-20-42-009,0.92
14-20-42-030,0.91
14-20-42-071,0.91
14-20-42-113,0.91
14-20-42-134,0.91
14-20-42-175,0.91
14-20-42-216,0.91
14-20-42-237,0.91
14-20-42-278,0.91
14-20-42-319,0.91
14-20-42-340,0.91
14-20-42-380,0.91
14-20-42-406,0.91
14-20-42-447,0.91
14-20-42-488,0.91
14-20-42-509,0.91
14-20-42-551,0.91
14-20-42-592,0.91
14-20-42-612,0.91
14-20-42-654,0.91
14-20-42-694,0.91
14-20-42-715,0.91
14-20-42-756,0.91
14-20-42-777,0.91
14-20-42-819,0.91
14-20-42-860,0.91
14-20-42-881,0.91
14-20-42-922,0.92
14-20-42-963,0.92
14-20-42-984,0.92
14-20-43-025,0.92
14-20-43-067,0.92
14-20-43-087,0.92
14-20-43-129,0.92
14-20-43-170,0.92
14-20-43-190,0.93
14-20-43-231,0.93
14-20-43-273,0.93
14-20-43-293,0.93
14-20-43-335,0.93
14-20-43-376,0.94
14-20-43-397,0.94
14-20-43-439,0.94
14-20-43-460,0.95
14-20-43-502,0.95
14-20-43-544,0.97
14-20-43-564,0.97
14-20-43-606,0.97
14-20-43-647,1
14-20-43-668,1
14-20-43-710,1
14-20-43-751,1.04
14-20-43-772,1.04
14-20-43-814,1.1
14-20-43-835,1.1
14-20-43-876,1.1
14-20-43-917,1.18
14-20-43-938,1.18
14-20-43-979,1.18
14-20-44-021,1.3
14-20-44-041,1.3
14-20-44-083,1.47
14-20-44-124,1.47
14-20-44-145,1.47
14-20-44-187,1.66
14-20-44-227,1.66
14-20-44-248,1.86
14-20-44-293,1.86
14-20-44-314,1.86
14-20-44-355,2.06
14-20-44-396,2.06
14-20-44-417,2.06
14-20-44-457,2.27
14-20-44-499,2.27
14-20-44-519,2.47
14-20-44-561,2.47
14-20-44-602,2.47
14-20-44-622,2.68
14-20-44-663,2.68
14-20-44-705,2.68
14-20-44-725,2.88
14-20-44-766,2.88
14-20-44-808,3.09
14-20-44-829,3.09
14-20-44-869,3.09
14-20-44-911,3.28
14-20-44-932,3.28
14-20-44-975,3.28
14-20-44-995,3.47
14-20-45-036,3.47
14-20-45-078,3.65
14-20-45-119,3.65
14-20-45-139,3.65
14-20-45-181,3.8
14-20-45-202,3.8
14-20-45-243,3.94
14-20-45-284,3.94
14-20-45-305,3.94
14-20-45-346,4.06
14-20-45-388,4.06
14-20-45-409,4.06
14-20-45-450,4.13
14-20-45-492,4.13
14-20-45-513,4.15
14-20-45-554,4.15
14-20-45-595,4.15
14-20-45-616,4.15
14-20-45-657,4.15
14-20-45-678,4.15
14-20-45-719,4.12
14-20-45-760,4.12
14-20-45-802,4.08
14-20-45-823,4.08
14-20-45-864,4.08
14-20-45-885,4.01
14-20-45-926,4.01
14-20-45-967,3.92
14-20-45-988,3.92
14-20-46-030,3.92
14-20-46-071,3.81
14-20-46-092,3.81
14-20-46-133,3.81
14-20-46-174,3.67
14-20-46-195,3.67
14-20-46-236,3.51
14-20-46-277,3.51
14-20-46-298,3.51
14-20-46-339,3.34
14-20-46-381,3.34
14-20-46-402,3.34
14-20-46-443,3.17
14-20-46-464,3.17
14-20-46-505,2.99
14-20-46-547,2.99
14-20-46-568,2.99
14-20-46-610,2.81
14-20-46-651,2.81
14-20-46-672,2.63
